Day,Pm,BW29,Oo,Gm,BW37,BW58,Site
11/21/2015,0,0,0,0,1,0,KGI
11/22/2015,0,0,0,0,1,0,KGI
11/23/2015,0,0,0,0,0,0,KGI
11/24/2015,0,0,0,0,1,0,KGI
11/25/2015,0,0,0,0,1,0,KGI
11/26/2015,0,0,0,0,1,0,KGI
11/27/2015,0,0,0,0,1,0,KGI
11/28/2015,0,0,0,1,1,0,KGI
11/29/2015,0,0,0,0,1,0,KGI
11/30/2015,0,0,0,0,1,0,KGI
12/1/2015,0,0,0,0,1,0,KGI
12/2/2015,0,0,0,0,1,0,KGI
12/3/2015,0,0,0,0,0,0,KGI
12/4/2015,0,0,0,0,0,0,KGI
12/5/2015,0,0,0,0,0,0,KGI
12/6/2015,0,0,0,0,0,0,KGI
12/7/2015,0,0,0,0,0,0,KGI
12/8/2015,0,0,0,0,0,1,KGI
12/9/2015,0,0,0,0,1,0,KGI
12/10/2015,0,0,0,0,1,1,KGI
12/11/2015,0,0,0,0,0,0,KGI
12/12/2015,0,0,0,0,1,0,KGI
12/13/2015,0,0,0,0,1,0,KGI
12/14/2015,0,0,0,0,1,0,KGI
12/15/2015,0,0,0,0,1,0,KGI
