Input file,Event Number,Species Code,Call,Start time,End time,Comments
Antarc_EIE_01,jst_bw464,BW29,Clicks,11/28/2016 4:21:14,11/28/2016 4:22:29,
Antarc_EIE_01,jst_bw465,BW29,Clicks,11/28/2016 4:23:44,11/28/2016 4:26:14,
Antarc_EIE_01,jst_bw466,BW29,Clicks,11/28/2016 4:28:44,11/28/2016 4:29:59,
Antarc_EIE_01,jst_bw467,BW29,Clicks,11/28/2016 4:38:44,11/28/2016 4:39:59,
Antarc_EIE_01,jst_bw468,BW29,Clicks,11/28/2016 6:52:29,11/28/2016 6:54:59,
Antarc_EIE_01,jst_bw469,BW29,Clicks,11/28/2016 6:57:29,11/28/2016 7:03:44,
Antarc_EIE_01,jst_bw470,BW29,Clicks,11/28/2016 7:58:44,11/28/2016 7:59:59,
Antarc_EIE_01,jst_bw471,BW29,Clicks,11/28/2016 8:08:44,11/28/2016 8:09:59,
Antarc_EIE_01,jst_bw472,BW29,Clicks,11/28/2016 14:42:29,11/28/2016 14:43:44,
Antarc_EIE_01,jst_bw473,BW29,Clicks,11/28/2016 14:44:59,11/28/2016 14:46:14,
Antarc_EIE_01,jst_bw474,BW29,Clicks,11/28/2016 14:49:59,11/28/2016 14:51:14,
Antarc_EIE_01,jst_bw475,BW29,Clicks,11/28/2016 14:56:14,11/28/2016 14:58:44,
Antarc_EIE_01,jst_bw476,BW29,Clicks,11/28/2016 14:59:59,11/28/2016 15:01:14,
Antarc_EIE_01,jst_bw477,BW29,Clicks,11/28/2016 17:42:29,11/28/2016 17:44:59,
Antarc_EIE_01,jst_bw478,BW29,Clicks,11/28/2016 17:46:14,11/28/2016 17:47:29,
Antarc_EIE_01,jst_bw479,BW29,Clicks,11/28/2016 17:48:44,11/28/2016 17:49:59,
Antarc_EIE_01,jst_bw480,BW37,Clicks,11/28/2016 19:28:44,11/28/2016 19:29:59,
Antarc_EIE_01,jst_bw481,BW29,Clicks,11/28/2016 21:12:29,11/28/2016 21:14:59,
Antarc_EIE_01,jst_bw482,BW29,Clicks,11/28/2016 21:16:14,11/28/2016 21:17:29,
Antarc_EIE_01,jst_bw483,BW29,Clicks,11/28/2016 21:29:59,11/28/2016 21:31:14,
Antarc_EIE_01,jst_bw484,BW29,Clicks,11/29/2016 0:06:14,11/29/2016 0:07:29,
Antarc_EIE_01,jst_bw485,BW29,Clicks,11/29/2016 0:13:44,11/29/2016 0:16:14,
Antarc_EIE_01,jst_bw486,BW29,Clicks,11/29/2016 0:17:29,11/29/2016 0:18:44,
Antarc_EIE_01,jst_bw487,BW29,Clicks,11/29/2016 0:23:44,11/29/2016 0:24:59,
Antarc_EIE_01,jst_bw488,BW29,Clicks,11/29/2016 0:26:14,11/29/2016 0:27:29,
Antarc_EIE_01,jst_bw489,BW29,Clicks,11/29/2016 0:29:59,11/29/2016 0:33:44,
Antarc_EIE_01,jst_bw490,BW29,Clicks,11/29/2016 0:34:59,11/29/2016 0:38:44,
Antarc_EIE_01,jst_bw491,BW29,Clicks,11/29/2016 1:19:59,11/29/2016 1:21:14,
Antarc_EIE_01,jst_bw492,BW29,Clicks,11/29/2016 2:21:14,11/29/2016 2:22:29,
